variant,context_len,batch_size,decode_len,iteration,status,runtime_s,peak_mem_mb,prefill_latency_s,decode_latency_total_s,decode_latency_per_token_ms,prefill_tps,decode_tps,log_path
fa2,1024,1,8,1,ok,11.31,16893.98,0.8597,0.7142,89.30000000000001,1191.18,11.2,evaluation/results/e2e_context_sweep_20260509_211434/fa2_ctx1024.log
bitdecoding_hn_2bit,1024,1,8,1,ok,11.57,16778.52,0.9299,0.8637,108.0,1101.18,9.26,evaluation/results/e2e_context_sweep_20260509_211434/bitdecoding_hn_2bit_ctx1024.log
fa2,2048,1,8,1,ok,11.36,17373.44,0.9205,0.7554,94.39999999999999,2224.91,10.59,evaluation/results/e2e_context_sweep_20260509_211434/fa2_ctx2048.log
bitdecoding_hn_2bit,2048,1,8,1,ok,11.91,17135.45,1.4489,0.8489,106.1,1413.44,9.42,evaluation/results/e2e_context_sweep_20260509_211434/bitdecoding_hn_2bit_ctx2048.log
fa2,4096,1,8,1,ok,12.09,18331.84,1.5748,0.8087,101.1,2600.99,9.89,evaluation/results/e2e_context_sweep_20260509_211434/fa2_ctx4096.log
bitdecoding_hn_2bit,4096,1,8,1,ok,12.37,17848.78,1.8642,0.903,112.9,2197.13,8.86,evaluation/results/e2e_context_sweep_20260509_211434/bitdecoding_hn_2bit_ctx4096.log
fa2,8192,1,8,1,ok,13.49,20246.54,2.8025,0.8506,106.30000000000001,2923.12,9.4,evaluation/results/e2e_context_sweep_20260509_211434/fa2_ctx8192.log
bitdecoding_hn_2bit,8192,1,8,1,ok,13.63,19273.33,3.0264,0.9199,115.0,2706.85,8.7,evaluation/results/e2e_context_sweep_20260509_211434/bitdecoding_hn_2bit_ctx8192.log
fa2,16384,1,8,1,ok,16.21,24078.04,5.3816,1.0007,125.1,3044.45,7.99,evaluation/results/e2e_context_sweep_20260509_211434/fa2_ctx16384.log
bitdecoding_hn_2bit,16384,1,8,1,ok,16.83,22124.54,6.0148,1.0385,129.8,2723.96,7.7,evaluation/results/e2e_context_sweep_20260509_211434/bitdecoding_hn_2bit_ctx16384.log
fa2,32768,1,8,1,ok,24.18,31741.03,12.8142,1.2975,162.20000000000002,2557.17,6.17,evaluation/results/e2e_context_sweep_20260509_211434/fa2_ctx32768.log
bitdecoding_hn_2bit,32768,1,8,1,ok,24.91,27826.96,13.8327,1.1069,138.4,2368.89,7.23,evaluation/results/e2e_context_sweep_20260509_211434/bitdecoding_hn_2bit_ctx32768.log
